State,Year,Coal,Natural gas,Petroleum,Nuclear,Total renewable energy,TotalEnergy,PercentRenewable,PercentNonRenewable
ME,1973,1418,1657,294332,36540,43051,376998,11.419423975724008,88.58057602427598
MI,1973,791284,929555,1122745,32490,39873,2915947,1.3674116847802789,98.63258831521972
MN,1973,180736,360450,602583,35654,29079,1208502,2.4062020584161217,97.59379794158387
MO,1973,383451,424673,632136,0,29800,1470060,2.027128144429479,97.97287185557052
MS,1973,29485,321528,370581,0,32195,753789,4.271089124410147,95.72891087558985
MT,1973,15243,93117,156521,0,32173,297054,10.830690716166083,89.16930928383391
NC,1973,531706,165215,727331,0,93161,1517413,6.1394623612688175,93.86053763873119
ND,1973,71095,33206,120862,0,8514,233677,3.643490801405359,96.35650919859464
NE,1973,36867,230780,214162,6536,7346,495691,1.4819716315204432,98.51802836847956
NH,1973,28325,8120,150480,0,19416,206341,9.409666522891719,90.59033347710829
NJ,1973,66132,309709,1578425,39087,32611,2025964,1.6096534785415733,98.39034652145843
NM,1973,134490,274018,191733,0,4443,604684,0.7347639428197207,99.26523605718027
NV,1973,90083,77967,110673,0,6711,285434,2.3511564845113058,97.6488435154887
NY,1973,369320,703023,2926764,78793,159810,4237710,3.7711405452473152,96.22885945475268
OH,1973,1622805,1131760,1208961,0,46549,4010075,1.160801231897159,98.83919876810285
OK,1973,4085,625808,414787,0,24516,1069196,2.292937871073218,97.70706212892678
OR,1973,2144,114331,344095,0,154643,615213,25.136497440723783,74.86350255927621
PA,1973,1798616,811496,1655536,3941,61297,4330886,1.4153454974340123,98.58465450256598
RI,1973,149,20888,165859,0,5076,191972,2.644135603108787,97.3558643968912
SC,1973,167908,157128,361835,67229,56619,810719,6.983800799043812,93.0161992009562
SD,1973,6341,31283,110634,0,17787,166045,10.712156343159986,89.28784365684001
TN,1973,532943,300079,485933,0,97984,1416939,6.915188303801363,93.08481169619864
TX,1973,125909,4746155,3295589,0,66240,8233893,0.8044797278759876,99.19552027212401
UT,1973,98848,116335,190457,0,6935,412575,1.6809065018481488,98.31909349815186
VA,1973,195912,156669,884314,74765,60018,1371678,4.37551670289966,95.62448329710034
VT,1973,1473,4212,78922,17422,9758,111787,8.72910087935091,91.27089912064909
WA,1973,64974,207952,572821,48321,301720,1195788,25.23189729283117,74.76810270716884
WI,1973,310735,373480,550614,64894,50768,1350491,3.759225348410319,96.24077465158967
WV,1973,810162,191905,178310,0,16026,1196403,1.3395151968024153,98.66048480319759
WY,1973,102406,110445,121873,0,5587,340311,1.6417335907449362,98.35826640925507
US,1973,12960121,22595346,34806025,910177,2475544,73747213,3.3567966832861873,96.64320331671381
AK,1974,12485,63188,117486,0,6035,199194,3.0297097302127574,96.97029026978724
AL,1974,653405,282454,476203,70195,93841,1576098,5.9540079360547375,94.04599206394526
AR,1974,2665,290102,354177,4024,51312,702280,7.306487440906761,92.69351255909324
AZ,1974,48359,204955,325753,0,30033,609100,4.930717451978329,95.06928254802168
CA,1974,60670,1937140,2872447,41277,301484,5213018,5.783290984224493,94.2167090157755
